Symbol,Name,Last Sale,Net Change,% Change,MarketCap,Country,IPO Year,Volume,Sector,Industry
REI,Ring Energy Inc. Common Stock,$1.86,-0.07,-3.627%,362959749.00,United States,,1994226,Energy,Oil & Gas Production
REPX,Riley Exploration Permian Inc. Common Stock,$44.83,1.76,4.086%,903725011.00,United States,1999,71462,Energy,Oil & Gas Production
RHE,Regional Health Properties Inc. Common Stock,$3.32,-0.21,-5.949%,5937285.00,,2017,4599,Health Care,Hospital/Nursing Management
RHE^A,Regional Health Properties Inc. 10.875% Series A Cumulative Redeemable Preferred Stock,$4.2204,0.0204,0.486%,,,,361,,
RLGT,Radiant Logistics Inc. Common Stock,$6.35,0.08,1.276%,305950976.00,United States,,153893,Consumer Discretionary,Oil Refining/Marketing
RMED,Ra Medical Systems Inc. Common Stock,$1.44,-0.09,-5.882%,3589284.00,,2018,20991,Health Care,Medical/Dental Instruments
RVP,Retractable Technologies Inc. Common Stock,$1.85,0.00,0.00%,55383744.00,United States,2001,13978,Health Care,Medical/Dental Instruments
SACC,Sachem Capital Corp. 6.875% Notes due 2024,$23.6056,0.0706,0.30%,0.00,United States,2019,1002,Real Estate,Real Estate Investment Trusts
SACH,Sachem Capital Corp. Common Shares,$3.53,0.02,0.57%,154461236.00,United States,2017,394764,Real Estate,Real Estate Investment Trusts
SACH^A,Sachem Capital Corp. 7.75% Series A Cumulative Redeemable Preferred Stock,$19.96,-0.04,-0.20%,,United States,,2005,,
SATX,SatixFy Communications Ltd. Ordinary Share,$0.8673,0.1161,15.455%,71702010.00,,2022,406631,,
SBEV,Splash Beverage Group Inc. (NV) Common Stock,$1.08,-0.02,-1.818%,44372362.00,,2021,161954,Consumer Staples,Beverages (Production/Distribution)
SCCB,Sachem Capital Corp. 7.125% Notes due 2024,$24.50,0.13,0.533%,0.00,United States,2019,586,Real Estate,Real Estate Investment Trusts
SCCC,Sachem Capital Corp. 7.75% Notes due 2025,$23.40,0.10,0.429%,0.00,United States,2020,8881,Real Estate,Real Estate Investment Trusts
SCCD,Sachem Capital Corp. 6.00% Notes due 2026,$20.35,-0.07,-0.343%,0.00,United States,,305,Real Estate,Real Estate Investment Trusts
SCCE,Sachem Capital Corp. 6.00% Notes due 2027,$20.60,0.25,1.229%,0.00,United States,2022,4922,Real Estate,Real Estate Investment Trusts
SCCF,Sachem Capital Corp. 7.125% Notes due 2027,$21.1799,0.4499,2.17%,0.00,United States,2022,1811,Real Estate,Real Estate Investment Trusts
SCCG,Sachem Capital Corp. 8.00% Notes due 2027,$21.96,-0.09,-0.408%,0.00,United States,2022,1185,Real Estate,Real Estate Investment Trusts
SDPI,Superior Drilling Products Inc. Common Stock,$1.0027,-0.0173,-1.696%,29324042.00,,2014,45379,Industrials,Metal Fabrications
SEB,Seaboard Corporation Common Stock,$3930.35,22.35,0.572%,4562267743.00,United States,1996,529,Industrials,Consumer Electronics/Appliances
SENS,Senseonics Holdings Inc. Common Stock,$0.659,0.0245,3.861%,316175293.00,United States,,5923346,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SIF,SIFCO Industries Inc. Common Stock,$3.39,-0.24,-6.612%,20672956.00,United States,1969,11762,Industrials,Office Equipment/Supplies/Services
SILV,SilverCrest Metals Inc. Common Shares,$6.74,-0.11,-1.606%,992338719.00,,2018,810029,Industrials,Industrial Machinery/Components
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,$34.73,-1.54,-4.246%,5349993130.00,Mexico,1998,1678,Industrials,Steel/Iron Ore
SKYH,Sky Harbour Group Corporation Class A Common Stock,$6.45,0.22,3.531%,368487410.00,,2022,2060,Industrials,Military/Government/Technical
SLI,Standard Lithium Ltd. Common Shares,$3.87,0.02,0.519%,648233502.00,,2021,285416,,
SLND,Southland Holdings Inc. Common Stock,$8.10,0.00,0.00%,359703431.00,United States,,13226,Industrials,Engineering & Construction
SNMP,Evolve Transition Infrastructure LP Common Stock,$0.17,0.004,2.41%,39275449.00,United States,,47208,Energy,Oil & Gas Production
SSY,SunLink Health Systems Inc. Common Stock,$1.1447,-0.0053,-0.461%,8049076.00,United States,1996,7768,Consumer Staples,Retail-Drug Stores and Proprietary Stores
STRW,Strawberry Fields REIT Inc. Common Stock,$7.30,-0.08,-1.084%,46470749.00,,2023,12509,Real Estate,Real Estate Investment Trusts
STXS,Stereotaxis Inc. Common Stock,$1.83,-0.01,-0.543%,137351536.00,United States,,62943,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SVM,Silvercorp Metals Inc. Common Shares,$3.74,-0.12,-3.109%,661124531.00,,,1206311,,
SVT,Servotronics Inc. Common Stock,$11.58,0.00,0.00%,29243125.00,United States,1970,62,Consumer Discretionary,Metal Fabrications
TELL,Tellurian Inc. Common Stock,$1.48,-0.01,-0.671%,834007257.00,United States,,9308135,Energy,Oil & Gas Production
TELZ,Tellurian Inc. 8.25% Senior Notes due 2028,$16.85,-0.05,-0.296%,0.00,United States,,2677,Energy,Oil & Gas Production
TGB,Taseko Mines Ltd. Common Stock,$1.75,-0.04,-2.235%,501362608.00,Canada,,939209,,
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),$0.56,-0.0074,-1.304%,109375383.00,Canada,,20854,,
TKAT,Takung Art Co. Ltd. Common Stock,$0.601,-0.029,-4.603%,21030123.00,,,21238,Consumer Discretionary,Catalog/Specialty Distribution
TMBR,Timber Pharmaceuticals Inc. Common Stock,$1.56,0.05,3.311%,4691887.00,United States,2015,16927,Health Care, Medicinal Chemicals and Botanical Products 
TMP,Tompkins Financial Corporation Common Stock,$61.41,1.31,2.18%,896061006.00,United States,1997,45148,Finance,Major Banks
TMQ,Trilogy Metals Inc. Common Stock,$0.5976,0.0148,2.539%,89016501.00,Canada,,70138,,
TOVX,Theriva Biologics Inc. Common Stock,$0.708,-0.0279,-3.791%,10707835.00,United States,,11971,Health Care,Biotechnology: Pharmaceutical Preparations
TPET,Trio Petroleum Corp. Common Stock,$2.00,-0.27,-11.894%,38174172.00,,2023,208486,Energy,Oil & Gas Production
TPHS,Trinity Place Holdings Inc. Common Stock,$0.38,0.01,2.703%,14121992.00,,,29146,Real Estate,Real Estate
TRT,Trio-Tech International Common Stock,$4.45,-0.12,-2.626%,18141226.00,United States,1998,656,Technology,Industrial Machinery/Components
TRX,TRX Gold Corporation Common Stock,$0.534,-0.0025,-0.466%,147883407.00,Canada,,373214,,
UAMY,United States Antimony Corporation Common Stock,$0.38,-0.0125,-3.185%,40421870.00,United States,,248427,,
UAVS,AgEagle Aerial Systems Inc. Common Stock,$0.41,-0.01,-2.381%,37339264.00,United States,,352201,Industrials,Wholesale Distributors
UEC,Uranium Energy Corp. Common Stock,$2.73,-0.08,-2.847%,1024818795.00,Canada,,3309106,Basic Materials,Other Metals and Minerals
UFAB,Unique Fabricating Inc. Common Stock,$0.22,-0.0285,-11.469%,2581292.00,United States,2015,2910077,Consumer Discretionary,Auto Parts:O.E.M.
URG,Ur Energy Inc Common Shares (Canada),$0.913,-0.004,-0.436%,241695572.00,Canada,,479777,,
USAS,Americas Gold and Silver Corporation Common Shares no par value,$0.57,-0.005,-0.87%,119057404.00,,2017,437026,,
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$28.96,0.02,0.069%,2113086469.00,United States,2004,170944,Finance,Investment Managers
UUU,Universal Security Instruments Inc. Common Stock,$2.02,-0.03,-1.463%,4672032.00,United States,2003,27642,Technology,Security Systems Services
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$5.19,-0.02,-0.384%,820172648.00,,,1153848,,
VFL,Delaware Investments National Municipal Income Fund Common Stock,$10.32,-0.10,-0.96%,216273092.00,United States,1993,13045,Finance,Finance/Investors Services
VGZ,Vista Gold Corp Common Stock,$0.6182,-0.0118,-1.873%,73814610.00,United States,1986,90120,,
VHAQ,Viveon Health Acquisition Corp. Common Stock,$11.03,0.09,0.823%,75842556.00,,2021,375,Industrials,Consumer Electronics/Appliances
VINE,Fresh Vine Wine Inc. Common Stock,$0.471,0.021,4.667%,7477703.00,,2021,164016,Consumer Staples,Beverages (Production/Distribution)
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$8.56,0.00,0.00%,380115531.00,United States,1993,52422,Finance,Finance Companies
VNRX,VolitionRX Limited Common Stock,$1.57,-0.05,-3.086%,99061923.00,Singapore,2015,66866,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
VZLA,Vizsla Silver Corp. Common Shares,$1.52,-0.04,-2.564%,315768142.00,,2022,208237,,
WLMS,Williams Industrial Services Group Inc. Common Stock,$0.9903,0.0003,0.03%,26795851.00,,2021,4911,Industrials,Engineering & Construction
WRAC,Williams Rowland Acquisition Corp. Common Stock,$10.3116,0.00,0.00%,296458500.00,,2021,1,Industrials,Consumer Electronics/Appliances
WRN,Western Copper and Gold Corporation Common Stock,$1.87,-0.02,-1.058%,300974606.00,Canada,2011,118027,,
WTT,Wireless Telecom Group  Inc. Common Stock,$1.81,0.00,0.00%,38681595.00,United States,1993,8663,Telecommunications,Telecommunications Equipment
WWR,Westwater Resources Inc. Common Stock,$0.9185,-0.0001,-0.011%,45924779.00,United States,,123252,Basic Materials,Other Metals and Minerals
WYY,WidePoint Corporation Common Stock,$1.96,-0.01,-0.508%,17101933.00,United States,,2012,Technology,EDP Services
XPL,Solitario Zinc Corp. Common Stock,$0.6522,-0.0018,-0.275%,42263455.00,United States,,39826,Basic Materials,Precious Metals
XTNT,Xtant Medical Holdings Inc. Common Stock,$0.612,-0.0136,-2.174%,66644993.00,United States,,445,Health Care,Medical Specialities
YCBD,cbdMD Inc. Common Stock,$0.1292,-0.0187,-12.644%,8468724.00,United States,2017,867712,Health Care,Biotechnology: Pharmaceutical Preparations
YCBD^A,cbdMD Inc. 8.0% Series A Cumulative Convertible Preferred Stock,$3.48,0.0801,2.356%,,United States,,22793,,
ZDGE,Zedge Inc. Class B Common Stock ,$2.05,0.06,3.015%,30087569.00,,2016,27675,Technology,Internet and Information Services
ZOM,Zomedica Corp. Common Shares,$0.215,0.0003,0.14%,210689179.00,United States,2017,2113701,Health Care,Pharmaceuticals and Biotechnology
